2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.639 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.639 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.673 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.673 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.673 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.673 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.710 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.710 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.749 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.749 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.794 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.794 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.829 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.829 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.870 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.870 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.911 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.911 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.950 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.950 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
2024-08-15 11:02:58.990 T [api_tester_player_example] [5538-event poller 1] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-15 11:02:58.990 D [api_tester_player_example] [5538-event poller 1] player_example.cpp:151 on_track_frame_out | tiktok
